track_id,track_name,artist_id,artist_name,duration,release_date,popularity,danceability,loudness,tempo
07MW63ok3ptSKwaTWEN0o8,Weak,1tM4ox3QsSpl3R2VwLjJ47,Larissa Lambert,159375,1/22/2021,77,0.617,-9.323,127.923
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,157712,12/27/2019,83,0.802,-4.895,139.864
3qGHAKgjQruzj6doKkyEb5,Unlock it (Lock It) - feat. Kim Petras and Jay Park,25uiPmTg16RbhZWAqwLBy5,Charli XCX,232933,12/15/2017,76,0.504,-5.864,134.824
3qGHAKgjQruzj6doKkyEb5,Unlock it (Lock It) - feat. Kim Petras and Jay Park,25uiPmTg16RbhZWAqwLBy5,Charli XCX,232933,12/15/2017,76,0.504,-5.864,134.824
3AMxuq6id3YGB57eWeheZQ,Don't Rush (feat. DaBaby),6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,201960,6/12/2020,74,0.959,-7.857,107.998
3AMxuq6id3YGB57eWeheZQ,Don't Rush (feat. DaBaby),6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,201960,6/12/2020,74,0.959,-7.857,107.998
3AMxuq6id3YGB57eWeheZQ,Don't Rush (feat. DaBaby),6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,201960,6/12/2020,74,0.959,-7.857,107.998
5icmcf9CRY4UTOWyOg8EeN,JOTARO! - TheRedW Mix,3bV5PFRfgmYqsOZv9pb2z6,Jae Trill,145000,3/18/2021,57,0.611,-9.919,162.941
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,281080,12/3/2013,71,0.657,-9.484,119.992
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,281080,12/3/2013,71,0.657,-9.484,119.992
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,281080,12/3/2013,71,0.657,-9.484,119.992
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,281080,12/3/2013,71,0.657,-9.484,119.992
5JDjxO6F0RrLkzAdIOG6P3,Frikitona,5rM8dB5rqWAN4WhQpOHcEy,Plan B,183182,7/12/2011,61,0.947,-3.813,120.063
1ulAlG3x3jWtCCK2SI4qyL,Lose Control (feat. Ciara & Fat Man Scoop),2wIVse2owClT7go1WT98tk,Missy Elliott,227893,7/4/2005,55,0.901,-7.039,125.462
5ofHoV0ywhsZUOArK1Oa1h,Say It Right,6ObeGN1qTsep95QRNOfNc3,Mangoo,133724,2/5/2021,60,0.702,-4.051,124.013
3YzhsBh8BRGxbMThPC3Ibw,Nesesari (feat. Philkeyz),1X6cBGnXpEpN7CmflLKmLV,Kizz Daniel,178000,11/30/2018,74,0.774,-5.482,110.793
3EikYy40GMSp8l5mDV6IQo,Foot Fungus,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,129546,11/30/2018,76,0.881,-9.662,88.953
3EikYy40GMSp8l5mDV6IQo,Foot Fungus,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,129546,11/30/2018,76,0.881,-9.662,88.953
3EikYy40GMSp8l5mDV6IQo,Foot Fungus,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,129546,11/30/2018,76,0.881,-9.662,88.953
3EikYy40GMSp8l5mDV6IQo,Foot Fungus,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,129546,11/30/2018,76,0.881,-9.662,88.953
0sci7ppTZFm4mjcH3nu8yO,nasty,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,200732,10/30/2020,71,0.772,-6.558,127.894
